Circuit,Class,Constructor,Country,Rider,Season,Class_Clean,Country_Full
Circuit Ricardo Tormo,Moto2™,Kalex,ES,Jorge Martin,2020,Moto2™,SPAIN
Circuit Ricardo Tormo,Moto3™,Honda,IT,Tony Arbolino,2020,Moto3™,ITALY
Circuit Ricardo Tormo,Moto2™,Kalex,IT,Marco Bezzecchi,2020,Moto2™,ITALY
Circuit Ricardo Tormo,Moto3™,KTM,ES,Raul Fernandez,2020,Moto3™,SPAIN
Circuit Ricardo Tormo,MotoGP™,Suzuki,ES,Joan Mir,2020,MotoGP,SPAIN
MotorLand Aragón,Moto3™,Honda,ES,Jaume Masia,2020,Moto3™,SPAIN
MotorLand Aragón,Moto2™,Kalex,GB,Sam Lowes,2020,Moto2™,GREAT BRITAIN
MotorLand Aragón,MotoGP™,Yamaha,IT,Franco Morbidelli,2020,MotoGP,ITALY
MotorLand Aragón,MotoGP™,Suzuki,ES,Alex Rins,2020,MotoGP,SPAIN
MotorLand Aragón,Moto2™,Kalex,GB,Sam Lowes,2020,Moto2™,GREAT BRITAIN
MotorLand Aragón,Moto3™,Honda,ES,Jaume Masia,2020,Moto3™,SPAIN
Le Mans,Moto3™,KTM,IT,Celestino Vietti,2020,Moto3™,ITALY
Le Mans,MotoE™,Energica,FI,Niki Tuuli,2020,MotoE™,FINLAND
Le Mans,MotoGP™,Ducati,IT,Danilo Petrucci,2020,MotoGP,ITALY
Le Mans,MotoE™,Energica,ES,Jordi Torres,2020,MotoE™,SPAIN
Le Mans,Moto2™,Kalex,GB,Sam Lowes,2020,Moto2™,GREAT BRITAIN
Circuit de Barcelona-Catalunya,Moto3™,KTM,ZA,Darryn Binder,2020,Moto3™,SOUTH AFRICA
Circuit de Barcelona-Catalunya,Moto2™,Kalex,IT,Luca Marini,2020,Moto2™,ITALY
Circuit de Barcelona-Catalunya,MotoGP™,Yamaha,FR,Fabio Quartararo,2020,MotoGP,FRANCE
Misano World Circuit Marco Simoncelli,Moto3™,Husqvarna,IT,Romano Fenati,2020,Moto3™,ITALY
Misano World Circuit Marco Simoncelli,MotoE™,NTS,CH,Dominique Aegerter,2020,MotoE™,SWITZERLAND
